"confinement","compas","gender","age","race","courttype","publicdefender","judge","crimhistepisodes","crimhistdays","charge0","chargeCO3","chargeF1","chargeF2","chargeF3","chargeF5","chargeF6","chargeF7","chargeM1","chargeM2","chargeMO3","chargeNI0","chargeTC4","chargeTCX","plea0_notguilty","pleaF1_notguilty","pleaF2_notguilty","pleaF3_notguilty","pleaF5_notguilty","pleaF6_notguilty","pleaF7_notguilty","pleaM1_notguilty","pleaM2_notguilty","pleaTC4_notguilty","pleaTCX_notguilty","plea0_nolocontendere","pleaCO3_nolocontendere","pleaF1_nolocontendere","pleaF2_nolocontendere","pleaF3_nolocontendere","pleaF5_nolocontendere","pleaF7_nolocontendere","pleaM1_nolocontendere","pleaM2_nolocontendere","pleaMO3_nolocontendere","pleaNI0_nolocontendere","pleaTC4_nolocontendere","pleaTCX_nolocontendere","plea0_guilty","pleaF1_guilty","pleaF2_guilty","pleaF3_guilty","pleaF7_guilty","pleaM1_guilty","pleaM2_guilty","pleaTCX_guilty"
TRUE,"none","male",45.7,"white","felony",TRUE,"Duffy, Barbara R",1,249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","male",36.3,"Black","felony",TRUE,"Coleman, Thomas J",2,1143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","male",31.4,"Black","felony",TRUE,"Kollra, Ernest A",0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","male",50.2,"Black","felony",TRUE,"Merrigan, Edward H, Jr",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","male",24.3,"Black","felony",TRUE,"Holden, Peter",0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
TRUE,"none","male",22.1,"Black","felony",TRUE,"Scherer, Elizabeth",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","female",30.8,"Black","felony",TRUE,"Ledee, Frank",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","male",29.8,"Black","felony",TRUE,"Ledee, Frank",1,389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"none","male",40.2,"Black","felony",TRUE,"Merrigan, Edward H, Jr",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"none","male",54.9,"white","felony",TRUE,"Scherer, Elizabeth",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
